"Date","CCUSSP01IFM650N"
2001-09-01,1.28900862346769
2001-10-01,1.27807613755167
2001-11-01,1.2660776029606
2001-12-01,1.25672978801482
2002-01-01,1.24204316099984
2002-02-01,1.24162523777123
2002-03-01,1.24691233333458
2002-04-01,1.2677066932378
2002-05-01,1.29065898466439
2002-06-01,1.33046485111433
2002-07-01,1.32248367724521
2002-08-01,1.32751351408757
2002-09-01,1.32269358612653
2002-10-01,1.32163422715456
2002-11-01,1.32407715132745
2002-12-01,1.35952318802749
2003-01-01,1.37654207125532
2003-02-01,1.37084701895607
2003-03-01,1.37378866184742
2003-04-01,1.38391256993948
2003-05-01,1.41995231800116
2003-06-01,1.40085844605574
2003-07-01,1.39194730644277
2003-08-01,1.37726629168296
2003-09-01,1.42979288020337
2003-10-01,1.4317786126638
2003-11-01,1.44877983762076
2003-12-01,1.48597021224113
2004-01-01,1.48131250212939
2004-02-01,1.48007376687654
2004-03-01,1.48051202027709
2004-04-01,1.45183184883527
2004-05-01,1.46881917220289
2004-06-01,1.46622191268649
2004-07-01,1.45775569763814
2004-08-01,1.46073258660684
2004-09-01,1.46899394480696
2004-10-01,1.49877849552615
2004-11-01,1.53590484762288
2004-12-01,1.55300724322578
2005-01-01,1.5204939780836
2005-02-01,1.53198947216835
2005-03-01,1.51082506156612
2005-04-01,1.51678090554854
2005-05-01,1.4749458326143
2005-06-01,1.45661331577629
2005-07-01,1.45185503517845
2005-08-01,1.4598369654077
2005-09-01,1.44946442289574
2005-10-01,1.44579706792355
2005-11-01,1.42413626135749
2005-12-01,1.42926564331247
2006-01-01,1.44539792527582
2006-02-01,1.43502700003301
2006-03-01,1.44084537279713
2006-04-01,1.4710620037924
2006-05-01,1.49418091243652
2006-06-01,1.47936872377819
2006-07-01,1.48386445788496
2006-08-01,1.48852496107507
2006-09-01,1.47637431994508
2006-10-01,1.48003871781286
2006-11-01,1.50772710139465
2006-12-01,1.50440187990059
2007-01-01,1.4901530685232
2007-02-01,1.50471653397575
2007-03-01,1.51018620595919
2007-04-01,1.5241834568176
2007-05-01,1.51285701534491
2007-06-01,1.51556944490754
2007-07-01,1.53122473479188
2007-08-01,1.5326281200477
2007-09-01,1.55665039966999
2007-10-01,1.57188464252985
2007-11-01,1.5901790541615
2007-12-01,1.58024816217139
2008-01-01,1.5952652527299
2008-02-01,1.61055493280765
2008-03-01,1.64449882253884
2008-04-01,1.62377993235333
2008-05-01,1.62068775505574
2008-06-01,1.63361589442921
2008-07-01,1.62088214890072
2008-08-01,1.56987596410008
2008-09-01,1.55722247570344
2008-10-01,1.48829677828396
2008-11-01,1.48796902643675
2008-12-01,1.54026957798154
2009-01-01,1.49192273033795
2009-02-01,1.46736434950271
2009-03-01,1.49507447713508
2009-04-01,1.49783114050854
2009-05-01,1.54804992151387
2009-06-01,1.55222620282008
2009-07-01,1.55333049591629
2009-08-01,1.56606279285374
2009-09-01,1.5843742672269
2009-10-01,1.58989083809506
2009-11-01,1.61018149965864
2009-12-01,1.56769052534877
2010-01-01,1.55419235617115
2010-02-01,1.53258349131715
2010-03-01,1.51824090535742
2010-04-01,1.51111728990181
2010-05-01,1.47432825918691
2010-06-01,1.47889615191221
2010-07-01,1.51851525652278
2010-08-01,1.50891239103766
2010-09-01,1.55618771358676
2010-10-01,1.57178581589044
2010-11-01,1.52577646764438
2010-12-01,1.54003474318381
2011-01-01,1.56193623863887
2011-02-01,1.57304926161068
2011-03-01,1.58550468199533
2011-04-01,1.62095834299154
2011-05-01,1.60076836881703
2011-06-01,1.60044812547513
2011-07-01,1.59899966580907
2011-08-01,1.6093600379809
2011-09-01,1.56162402652262
2011-10-01,1.58590196588408
2011-11-01,1.55155667681385
2011-12-01,1.53526582360103
2012-01-01,1.55108498394627
2012-02-01,1.55602305403757
2012-03-01,1.5490858844196
2012-04-01,1.5505462574465
2012-05-01,1.51025690980293
2012-06-01,1.51754740059306
2012-07-01,1.50833202611224
2012-08-01,1.52201441652055
2012-09-01,1.54218889037967
2012-10-01,1.54057093558873
2012-11-01,1.53481104941171
2012-12-01,1.53691988958768
2013-01-01,1.54133553641559
2013-02-01,1.51483018753598
2013-03-01,1.49919643071314
2013-04-01,1.50899891502978
2013-05-01,1.49876726392542
2013-06-01,1.50395841855764
2013-07-01,1.51325765027405
2013-08-01,1.51527549223724
2013-09-01,1.53408350016491
2013-10-01,1.53804035202668
2013-11-01,1.53520689983389
2013-12-01,1.53999916840045
2014-01-01,1.53420117980071
2014-02-01,1.54740314803696
2014-03-01,1.54562849891651
2014-04-01,1.54969083667808
2014-05-01,1.54047126096816
2014-06-01,1.54589133002306
2014-07-01,1.53130680191168
2014-08-01,1.51838383224895
2014-09-01,1.48258408475637
2014-10-01,1.47832771568801
2014-11-01,1.46424032283571
2014-12-01,1.44880502561487
2015-01-01,1.4098029236493
2015-02-01,1.40739416747709
2015-03-01,1.3794911057311
2015-04-01,1.40641635268422
2015-05-01,1.39050148436033
2015-06-01,1.40639261700132
2015-07-01,1.39470013947001
2015-08-01,1.40380036835722
2015-09-01,1.40373533973905
2015-10-01,1.39687435394561
2015-11-01,1.37216562039038
2015-12-01,1.38573057794665
2016-01-01,1.38049661985403
2016-02-01,1.38131468005989
2016-03-01,1.40881977532142
2016-04-01,1.41732997709595
2016-05-01,1.40287870710698
2016-06-01,1.39884399532227
2016-07-01,1.3933806060927
2016-08-01,1.3943423166161
2016-09-01,1.39581367562407
2016-10-01,1.3738490579517
2016-11-01,1.35376251215002
2016-12-01,1.34433175956895
2017-01-01,1.35882858105684
2017-02-01,1.35389264443665
2017-03-01,1.35684842103549
2017-04-01,1.37102368854729
2017-05-01,1.38432063080723
2017-06-01,1.39138758910098
