"Date","BOGMBASE"
2017-04-01,3821700
2017-05-01,3774400
2017-06-01,3762800
2017-07-01,3795400
2017-08-01,3910000
2017-09-01,3874500
2017-10-01,3829900
2017-11-01,3907700
2017-12-01,3851000
2018-01-01,3824800
2018-02-01,3855100
2018-03-01,3800600
2018-04-01,3727100
2018-05-01,3674800
2018-06-01,3650500
2018-07-01,3618300
2018-08-01,3584500
2018-09-01,3559800
2018-10-01,3520900
2018-11-01,3476300
2018-12-01,3400700
2019-01-01,3346900
2019-02-01,3353500
2019-03-01,3381500
2019-04-01,3286700
2019-05-01,3244500
2019-06-01,3274800
2019-07-01,3260300
2019-08-01,3271400
2019-09-01,3202700
2019-10-01,3252800
2019-11-01,3315600
2019-12-01,3426500
2020-01-01,3442600
2020-02-01,3454500
2020-03-01,3883100
2020-04-01,4844900
2020-05-01,5149400
2020-06-01,5001800
2020-07-01,4700300
2020-08-01,4807400
2020-09-01,4880300
2020-10-01,4917100
2020-11-01,5093000
2020-12-01,5206500
2021-01-01,5248000
2021-02-01,5446800
2021-03-01,5839000
2021-04-01,6042100
2021-05-01,6041900
2021-06-01,6027000
2021-07-01,6130200
2021-08-01,6328700
2021-09-01,6388800
2021-10-01,6330900
2021-11-01,6394700
2021-12-01,6413100
2022-01-01,6103900
2022-02-01,6039900
2022-03-01,6134400
2022-04-01,5885100
2022-05-01,5591500
2022-06-01,5506500
2022-07-01,5537100
2022-08-01,5582200
2022-09-01,5410900
2022-10-01,5340200
2022-11-01,5419400
2022-12-01,5406000
2023-01-01,5329000
2023-02-01,5321600
2023-03-01,5571500
2023-04-01,5593100
2023-05-01,5569600
2023-06-01,5608500
2023-07-01,5517800
2023-08-01,5559100
2023-09-01,5567300
2023-10-01,5601300
